Title,Semester,Description,Skills,URL
Advances in cryo-electron tomography – “Mr. Tompkins explores the cryo-world’s wonders”,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950840599
Advances in Metabolic Engineering,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838283
Advisor Advanced Training,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841298
Advisor Training,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838138
Aeroakustik,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836473
Aerodynamic Lab,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950884762
Aerodynamics,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950884760
Aerodynamik bodengebundener Fahrzeuge,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836335
Aerodynamik des Flugzeugs I,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950836639
Aeroelasticity,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838041
Aerospace Combustion,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839486
Aerospace Structures and Elements - Fundamentals,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841502
African Urbanism in a Global Context,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875443
After Innovation,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950877143
Agrar- und Agrarumweltpolitik,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950875724
Agrarökologie,2025 W,Pending...,Pending...,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950839935
